age spectacle astigmatism tear contact tot
young myope no reduced none 1
young myope no normal soft 2
young myope yes reduced none 3
young myope yes normal hard 4
young hypermetrope no reduced none 5
young hypermetrope no normal soft 6
young hypermetrope yes reduced none 7
young hypermetrope yes normal hard 8
pre-presbyopic myope no reduced none 9
pre-presbyopic myope no normal soft 10
pre-presbyopic myope yes reduced none 11
pre-presbyopic myope yes normal hard 12
pre-presbyopic hypermetrope no reduced none 13
pre-presbyopic hypermetrope no normal soft 14
pre-presbyopic hypermetrope yes reduced none 15
pre-presbyopic hypermetrope yes normal none 16
presbyopic myope no reduced none 17
presbyopic myope no normal none 18
presbyopic myope yes reduced none 19
presbyopic myope yes normal hard 20
presbyopic hypermetrope no reduced none 21
presbyopic hypermetrope no normal soft 22
presbyopic hypermetrope yes reduced none 23
presbyopic hypermetrope yes normal none 24
