age spectacle tot astigmatism tear contact 
young myope 1 no reduced none
young myope 2 no normal soft 
young myope 3 yes reduced none 
young myope 4 yes normal hard 
young hypermetrope 5 no reduced none 
young hypermetrope 6 no normal soft 
young hypermetrope 7 yes reduced none 
young hypermetrope 8 yes normal hard 
pre-presbyopic myope 9 no reduced none 
pre-presbyopic myope 10 no normal soft 
pre-presbyopic myope 11 yes reduced none 
pre-presbyopic myope 12 yes normal hard 
pre-presbyopic hypermetrope 13 no reduced none 
pre-presbyopic hypermetrope 14 no normal soft 
pre-presbyopic hypermetrope 15 yes reduced none 
pre-presbyopic hypermetrope 16 yes normal none 
presbyopic myope 17 no reduced none 
presbyopic myope 18 no normal none 
presbyopic myope 19 yes reduced none 
presbyopic myope 20 yes normal hard 
presbyopic hypermetrope 21 no reduced none 
presbyopic hypermetrope 22 no normal soft 
presbyopic hypermetrope 23 yes reduced none 
presbyopic hypermetrope 24 yes normal none 
