@relation zoo

@attribute animal {aardvark,antelope,bass,bear,boar,buffalo,calf,carp,catfish,cavy,cheetah,chicken,chub,clam,crab,crayfish,crow,deer,dogfish,dolphin,dove,duck,elephant,flamingo,flea,frog,fruitbat,giraffe,girl,gnat,goat,gorilla,gull,haddock,hamster,hare,hawk,herring,honeybee,housefly,kiwi,ladybird,lark,leopard,lion,lobster,lynx,mink,mole,mongoose,moth,newt,octopus,opossum,oryx,ostrich,parakeet,penguin,pheasant,pike,piranha,pitviper,platypus,polecat,pony,porpoise,puma,pussycat,raccoon,reindeer,rhea,scorpion,seahorse,seal,sealion,seasnake,seawasp,skimmer,skua,slowworm,slug,sole,sparrow,squirrel,starfish,stingray,swan,termite,toad,tortoise,tuatara,tuna,vampire,vole,vulture,wallaby,wasp,wolf,worm,wren}
@attribute hair {false,true}
@attribute feathers {false,true}
@attribute eggs {false,true}
@attribute milk {false,true}
@attribute airborne {false,true}
@attribute aquatic {false,true}
@attribute predator {false,true}
@attribute toothed {false,true}
@attribute backbone {false,true}
@attribute breathes {false,true}
@attribute venomous {false,true}
@attribute fins {false,true}
@attribute legs {0,2,4,5,6,8}
@attribute tail {false,true}
@attribute domestic {false,true}
@attribute catsize {false,true}

@data
aardvark,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true
antelope,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true
bass,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false
bear,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true
boar,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true
buffalo,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true
calf,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true
carp,false,false,true,false,false,true,false,true,true,false,false,true,0,true,true,false
catfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false
cavy,true,false,false,true,false,false,false,true,true,true,false,false,4,false,true,false
cheetah,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true
chicken,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false
chub,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false
clam,false,false,true,false,false,false,true,false,false,false,false,false,0,false,false,false
crab,false,false,true,false,false,true,true,false,false,false,false,false,4,false,false,false
crayfish,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false
crow,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false
deer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true
dogfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true
